,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
29079,35.0,blue-collar,married,basic.4y,no,yes,no,cellular,apr,fri,98.0,1.0,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
35206,33.0,retired,married,high.school,no,yes,no,cellular,may,fri,237.0,2.0,999.0,0.0,nonexistent,-1.8,92.89299999999999,-46.2,1.25,5099.1,no
40400,77.0,retired,married,basic.4y,no,no,no,cellular,aug,thu,318.0,1.0,9.0,4.0,failure,-1.7,94.027,-38.3,0.904,4991.6,yes
29646,19.0,student,single,university.degree,no,yes,no,cellular,apr,mon,159.0,2.0,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,no
34343,42.0,blue-collar,married,basic.9y,no,no,no,cellular,may,thu,190.0,1.0,999.0,0.0,nonexistent,-1.8,92.89299999999999,-46.2,1.266,5099.1,no
16790,54.0,services,married,high.school,no,no,no,telephone,jul,thu,105.0,1.0,999.0,0.0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
20857,42.0,admin.,married,professional.course,no,yes,no,cellular,aug,thu,81.0,1.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no
22376,31.0,admin.,divorced,university.degree,no,no,no,cellular,aug,fri,351.0,3.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.9639999999999995,5228.1,no
11642,46.0,blue-collar,divorced,basic.6y,no,yes,yes,telephone,jun,fri,9.0,13.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no
30104,62.0,self-employed,married,university.degree,no,no,no,cellular,apr,mon,66.0,1.0,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.392,5099.1,no
37551,61.0,management,married,university.degree,no,yes,no,cellular,aug,fri,209.0,2.0,4.0,2.0,success,-2.9,92.20100000000001,-31.4,0.8690000000000001,5076.2,yes
12634,49.0,technician,married,professional.course,no,yes,yes,telephone,jul,mon,70.0,3.0,999.0,0.0,nonexistent,1.4,93.91799999999999,-42.7,4.96,5228.1,no
11359,36.0,admin.,single,university.degree,no,yes,no,telephone,jun,thu,55.0,2.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.961,5228.1,no
12817,33.0,services,married,high.school,no,yes,yes,cellular,jul,tue,130.0,1.0,999.0,0.0,nonexistent,1.4,93.91799999999999,-42.7,4.962,5228.1,no
29562,34.0,management,married,university.degree,no,yes,yes,cellular,apr,mon,107.0,1.0,999.0,0.0,nonexistent,-1.8,93.075,-47.1,1.405,5099.1,yes
24323,46.0,technician,married,professional.course,no,no,yes,cellular,nov,mon,173.0,1.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no
26392,42.0,management,married,university.degree,no,no,no,cellular,nov,thu,316.0,1.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no
8004,36.0,services,married,high.school,no,no,no,telephone,jun,mon,145.0,2.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
7904,33.0,blue-collar,married,basic.9y,no,no,no,telephone,jun,mon,209.0,2.0,999.0,0.0,nonexistent,1.4,94.465,-41.8,4.865,5228.1,no
39686,33.0,admin.,married,university.degree,no,yes,yes,cellular,may,mon,312.0,2.0,999.0,0.0,nonexistent,-1.8,93.876,-40.0,0.685,5008.7,no
24085,29.0,technician,married,university.degree,no,yes,no,cellular,nov,thu,150.0,1.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.592,5195.8,yes
19378,48.0,blue-collar,married,university.degree,no,yes,yes,cellular,aug,wed,742.0,1.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.967,5228.1,yes
28784,48.0,services,divorced,high.school,no,no,no,cellular,apr,thu,235.0,2.0,999.0,1.0,failure,-1.8,93.075,-47.1,1.41,5099.1,no
21564,30.0,admin.,single,university.degree,no,no,no,cellular,aug,tue,128.0,2.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.963,5228.1,no
685,38.0,blue-collar,married,basic.9y,no,yes,no,telephone,may,tue,276.0,2.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no
12173,38.0,blue-collar,married,basic.9y,no,yes,no,telephone,jul,tue,110.0,2.0,999.0,0.0,nonexistent,1.4,93.91799999999999,-42.7,4.955,5228.1,no
40170,54.0,retired,single,basic.4y,no,yes,no,cellular,jul,thu,392.0,4.0,999.0,0.0,nonexistent,-1.7,94.215,-40.3,0.846,4991.6,no
37017,25.0,student,single,university.degree,no,yes,no,cellular,jul,tue,371.0,1.0,999.0,0.0,nonexistent,-2.9,92.469,-33.6,1.044,5076.2,yes
3130,42.0,unemployed,divorced,high.school,no,yes,yes,telephone,may,thu,157.0,1.0,999.0,0.0,nonexistent,1.1,93.994,-36.4,4.86,5191.0,no
25621,47.0,unemployed,married,professional.course,no,yes,no,cellular,nov,wed,248.0,1.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.12,5195.8,no
20537,31.0,services,single,university.degree,no,yes,no,cellular,aug,tue,1307.0,3.0,999.0,0.0,nonexistent,1.4,93.444,-36.1,4.966,5228.1,yes
26658,33.0,blue-collar,married,basic.4y,no,yes,yes,cellular,nov,thu,129.0,1.0,999.0,0.0,nonexistent,-0.1,93.2,-42.0,4.0760000000000005,5195.8,no
